#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1000,147.9392448008843,233.24139325760348,381.1806380584878,108.73058783154491
2000,177.17661472783357,267.2073900214419,444.38400474927545,124.56458171588775
3000,227.2985493229722,262.7089833504367,490.00753267340895,122.46755084665635
4000,252.5227200554462,245.45547755817864,497.97819761362484,114.42445094596569
5000,238.01291927289486,261.27087205418866,499.2837913270835,121.79714374427923
6000,282.45536836408434,256.25131642895093,538.7066847930353,119.45716786708812
7000,247.0418176245222,255.44559643578006,502.4874140603023,119.08156383188009
8000,296.18691366934456,251.2350045017337,547.4219181710782,117.11870411082714
9000,322.04967895150907,247.48835369683152,569.5380326483406,115.37212071614377
10000,310.17450560030323,251.43437116354156,561.6088767638448,117.21164325010093
11000,326.18843993011444,250.5450658217375,576.7335057518519,116.79707407253949
12000,309.0701852417622,240.86204501031372,549.9322302520759,112.28312168138575
13000,320.7242151483591,216.19575041661872,536.9199655649778,100.78438780169056
14000,337.6824250868772,250.31552549071185,587.997950577589,116.6900688159901
15000,335.5736098105729,258.78268141910746,594.3562912296804,120.63721914165723
16000,365.8139656048005,261.66274401980087,627.4767096246014,121.97982345040094
17000,332.22261354098185,247.50049933734067,579.7231128783226,115.37778267268462
18000,319.8298441345527,278.4196001339161,598.2494442684688,129.79139921767512
19000,319.2781836715566,273.8368279192546,593.1150115908112,127.65503950107934
20000,309.65763897337393,270.1320776701777,579.7897166435516,125.92798896890258
21000,321.8597124973503,274.7840537035494,596.6437662008997,128.09660956245273
22000,343.5710153137127,253.52010109395275,597.0911164076654,118.18395197379726
23000,317.4747010844603,247.66580692780357,565.1405080122639,115.45484442931799
24000,298.6772013914509,206.9616779779087,505.63887936935964,96.47972253487356
25000,326.15199272636653,258.1761691853152,584.3281619116817,120.35448016987266
26000,313.4458421093538,235.61517061743245,549.0610127267862,109.83717617810977
27000,326.1263571457954,288.97250295379837,615.0988600995938,134.7108661738157
28000,346.32039715267865,227.64375506834722,573.9641522210259,106.12112609627765
