#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1000,38.114906311035156,370.80723176151514,408.9221380725503,57.1767423472197
2000,72.72589111328125,375.3006558646448,448.02654697792605,57.86960734605195
3000,102.07037353515625,378.8966831192374,480.9670566543937,58.42409794439513
4000,107.60345458984375,418.19244319968857,525.7958977895323,64.4833205188436
5000,115.92759704589844,401.0978081645444,517.0254052104428,61.84740768003247
6000,91.70714569091797,386.5887600015849,478.29590569250286,59.610180254407496
7000,96.48727416992188,371.95982334110886,468.44709751103073,57.354466582707076
8000,113.10750579833984,398.71438871417195,511.8218945125118,61.47989553855691
9000,91.65193176269531,416.4440862322226,508.09601799491793,64.21373204457117
10000,95.46440124511719,404.8597106160596,500.3241118611768,62.42747545860264
11000,116.62890625,392.32777731958777,508.95668356958777,60.49510990628851
12000,140.1343994140625,416.29028075840324,556.4246801724657,64.19001595924462
13000,135.72251892089844,387.46907121129334,523.1915901321918,59.74592012923076
14000,90.68643188476562,380.46737428195775,471.15380616672337,58.66629118181202
15000,109.01036071777344,404.68531165644526,513.6956723742187,62.40058395400031
16000,116.74214172363281,389.67150342836976,506.4136451520026,60.08552488508942
17000,98.3150634765625,411.52791831456125,509.84298179112375,63.455681925029346
18000,78.70675659179688,408.89039495697943,487.5971515487763,63.0489881484953
19000,80.88432312011719,369.57712937681936,450.46145249693654,56.987066307795295
20000,86.23725891113281,411.4947343124077,497.7319932235405,63.45056510696684
21000,113.88665771484375,404.5900629181415,518.4767206329852,62.38589704365334
22000,92.10123443603516,357.67032226733863,449.7715567033738,55.151092292286684
23000,84.69338989257812,380.4858451061882,465.17923499876633,58.669139296593784
24000,110.16180419921875,397.17850523628294,507.3403094355017,61.24306948348393
25000,96.4553451538086,392.9463767039124,489.401721857721,60.59049504062275
26000,76.54004669189453,405.2862229102757,481.8262696021702,62.493241661269366
27000,94.74917602539062,387.9913411773741,482.74051720276475,59.8264517174213
28000,109.08625793457031,385.7391937468201,494.8254516813904,59.479181107964685
29000,81.19677734375,379.64948955574073,460.84626689949073,58.5401771790228
30000,86.1243896484375,364.8498013596982,450.9741910081357,56.258134418463726
31000,108.10598754882812,400.8297067536041,508.93569430243224,61.8060676953093
32000,85.91633605957031,401.8610794041306,487.7774154637009,61.96510053839325
33000,101.3883056640625,389.0020677931607,490.3903734572232,59.98230103842773
34000,112.92790222167969,363.3005868680775,476.2284890897572,56.01925278336945
35000,71.36958312988281,410.1672342396341,481.53681736951694,63.2458707991824
36000,89.03446960449219,397.58171778544784,486.61618738994,61.30524297434398
37000,81.01145935058594,405.0592938810587,486.07075323164463,62.45825026540849
38000,62.62632751464844,401.0278628645465,463.6541903791949,61.83662244162872
39000,79.27601623535156,386.78549861721694,466.0615148525685,59.64051642957405
40000,90.8190689086914,399.39430326782167,490.2133721765131,61.58473518547393
41000,85.73100280761719,394.99022365454584,480.72122646216303,60.90564668946836
42000,100.58943176269531,385.3357100156136,485.9251417783089,59.41696580210105
43000,95.24790954589844,382.51762818545103,477.76553773134947,58.98243075284879
44000,117.8333740234375,413.1822536867112,531.0156277101487,63.71077270866904
45000,93.84857177734375,397.0707427877933,490.91931456513703,61.22645301750313
46000,95.96387481689453,386.48066732287407,482.4445421397686,59.593512868469766
47000,81.61361694335938,368.5544158415869,450.16803278494626,56.82936865982545
48000,92.96959686279297,375.94709109398536,468.91668795677833,57.96928463761012
49000,93.82894897460938,388.9456272968091,482.7745762714185,59.973598177638
50000,79.05882263183594,384.4842065498233,463.5430291816592,59.285667946770744
51000,98.34539031982422,374.6522299516946,472.9976202715188,57.769623100383676
52000,111.92152404785156,379.0484494250268,490.96997347287834,58.44749959954054
53000,100.73397827148438,379.1005820063874,479.8345602778718,58.455538199969645
54000,109.21099853515625,384.18524342076853,493.3962419559248,59.23956922933182
55000,84.29949951171875,397.48096291720867,481.7804624289274,61.28970704449124
56000,111.47030639648438,382.9332176754251,494.4035240719095,59.0465127101439
57000,116.49270629882812,407.0110669059213,523.5037732047495,62.75920454516373
58000,121.58155059814453,413.1342009603977,534.7157515585423,63.70336320282295
59000,94.13692474365234,407.1993573992513,501.33628214290366,62.788238059349574
60000,88.11821746826172,397.773028341122,485.8912458093837,61.33474216803047
61000,94.92967224121094,403.6228630403057,498.5525352815166,62.2367593422375
62000,93.77740478515625,386.6667954484001,480.44420023355633,59.62221295564502
63000,81.36460876464844,417.34569241665304,498.7103011813015,64.35275550498467
64000,74.50595092773438,382.96675987914205,457.4727108068764,59.05168476121359
65000,94.5455093383789,375.3268771520816,469.8723864904605,57.87365054604204
66000,98.82768249511719,387.0429144622758,485.870596957393,59.68020874997218
67000,72.9415283203125,391.13032884150743,464.07185716181993,60.31046894667178
68000,77.299072265625,391.6628028098494,468.9618750754744,60.39257394432747
69000,128.86773681640625,405.99635890172794,534.8640957181342,62.60274131267009
70000,84.13151550292969,409.2646509881597,493.3961664910894,63.10669667959657
71000,100.4909896850586,398.3374346876517,498.8284243727103,61.421770989182
72000,77.7864761352539,365.0274751330144,442.8139512682683,56.28553088403561
73000,93.9190673828125,394.49274117453024,488.41180855734274,60.8289372157966
74000,64.72674560546875,409.3879506988451,474.11469630431384,63.12570891880198
75000,106.10646057128906,384.9740652516484,491.0805258229375,59.361201869471614
76000,92.5201416015625,394.6712176576257,487.1913592591882,60.85645745546536
77000,86.85166931152344,403.1656759296311,490.01734524115454,62.16626322621698
