#"Step","eletrostastic","Non-Contacts","Bonds","Angles","Dihedrals","Impropers","contact_1-6-12"
1000,0.0,3.728475332260132,118.09210968017578,145.7048797607422,36.926788330078125,32.01413345336914,-298.3514709472656
2000,0.0,4.3064398765563965,139.13388061523438,136.1825714111328,47.75699996948242,31.414310455322266,-286.06829833984375
3000,0.0,5.943469047546387,128.95156860351562,154.96282958984375,59.02341842651367,36.31943130493164,-283.1303405761719
4000,0.0,4.796113014221191,122.41105651855469,155.62088012695312,55.908321380615234,37.62657165527344,-268.7594909667969
5000,0.0,5.254256248474121,147.0732421875,156.63406372070312,47.05113220214844,36.65962219238281,-276.74468994140625
6000,0.0,4.105942726135254,133.19515991210938,149.3818359375,54.02041244506836,33.306678771972656,-282.30291748046875
7000,0.0,6.539456367492676,125.0444107055664,143.25860595703125,59.557655334472656,35.74825668334961,-273.6611328125
8000,0.0,3.9467267990112305,147.17462158203125,138.19166564941406,59.53441619873047,32.045310974121094,-267.78521728515625
9000,0.0,5.308825969696045,127.49256896972656,146.44613647460938,54.032447814941406,31.2924861907959,-272.9205322265625
10000,0.0,5.787072658538818,125.22917938232422,135.06201171875,60.741241455078125,40.05805587768555,-271.4131774902344
11000,0.0,6.9410786628723145,128.07919311523438,152.48284912109375,60.049720764160156,34.78108596801758,-265.7050476074219
12000,0.0,4.630722999572754,139.23788452148438,153.47796630859375,68.35760498046875,42.60553741455078,-268.1753234863281
13000,0.0,5.115997314453125,139.60342407226562,155.28533935546875,64.11335754394531,36.608551025390625,-265.004150390625
14000,0.0,3.740550994873047,128.78598022460938,148.28237915039062,56.68505859375,34.056297302246094,-280.8638610839844
15000,0.0,5.923950672149658,131.03408813476562,144.0668182373047,59.6861572265625,39.19803237915039,-270.898681640625
16000,0.0,3.8469748497009277,139.52870178222656,144.29971313476562,57.424171447753906,32.940032958984375,-261.29742431640625
17000,0.0,3.717461109161377,141.381103515625,142.6519775390625,63.35639953613281,26.007530212402344,-278.79937744140625
18000,0.0,5.105698585510254,137.5558624267578,137.108154296875,46.244956970214844,34.146141052246094,-281.45404052734375
19000,0.0,5.697710990905762,132.71299743652344,139.42129516601562,54.225257873535156,34.108917236328125,-285.2818298339844
20000,0.0,4.729296684265137,129.45846557617188,141.53811645507812,57.07968521118164,31.762161254882812,-278.3304443359375
21000,0.0,3.612426519393921,140.80743408203125,154.02645874023438,57.851436614990234,35.57264709472656,-277.9837341308594
22000,0.0,7.9174089431762695,112.12797546386719,148.67715454101562,59.744300842285156,36.601837158203125,-272.96746826171875
23000,0.0,3.9372849464416504,135.00271606445312,135.46243286132812,58.452274322509766,32.704856872558594,-280.8661804199219
24000,0.0,5.001608848571777,136.9522705078125,152.89288330078125,61.42736053466797,33.51683807373047,-279.6291809082031
25000,0.0,4.8014631271362305,119.99491882324219,147.05865478515625,55.5799674987793,40.12299728393555,-271.1026611328125
26000,0.0,5.260988712310791,146.48080444335938,125.38369750976562,51.70018005371094,33.388389587402344,-285.67401123046875
27000,0.0,5.0349931716918945,135.46160888671875,145.717041015625,55.183963775634766,34.770660400390625,-281.4190979003906
28000,0.0,3.084160804748535,143.82174682617188,140.18927001953125,55.30560302734375,31.394454956054688,-264.7089538574219
29000,0.0,5.682140350341797,133.46023559570312,140.1750946044922,52.888343811035156,32.98249053955078,-283.99151611328125
30000,0.0,4.817015171051025,136.94970703125,138.77186584472656,58.432090759277344,34.38847351074219,-287.2347412109375
31000,0.0,4.418732643127441,134.51663208007812,158.0330810546875,56.771156311035156,31.603668212890625,-277.2372741699219
32000,0.0,5.281045913696289,126.41985321044922,139.98341369628906,51.52268600463867,38.232112884521484,-275.52276611328125
33000,0.0,3.4789018630981445,142.48414611816406,136.70970153808594,59.26988220214844,31.424118041992188,-271.97845458984375
34000,0.0,4.728292465209961,138.11019897460938,147.17373657226562,59.54976272583008,37.33738327026367,-273.9714660644531
35000,0.0,5.6538286209106445,135.3581085205078,140.89590454101562,43.73558044433594,30.576515197753906,-284.850341796875
36000,0.0,3.9549343585968018,147.30923461914062,127.0442886352539,50.45122528076172,32.05025100708008,-271.77545166015625
37000,0.0,3.5147414207458496,129.52090454101562,144.89654541015625,53.250526428222656,30.087739944458008,-280.259033203125
38000,0.0,3.905791997909546,122.68966674804688,134.230224609375,51.79729461669922,34.87194061279297,-284.8685607910156
39000,0.0,4.184507369995117,127.56238555908203,140.65313720703125,54.00838851928711,31.02170181274414,-278.1540832519531
40000,0.0,3.7286009788513184,131.9932098388672,143.58453369140625,48.09524154663086,38.029998779296875,-274.612548828125
41000,0.0,3.8800368309020996,121.28334045410156,150.15896606445312,49.89595031738281,32.91457748413086,-272.40191650390625
42000,0.0,4.381196022033691,143.7779998779297,140.045654296875,53.188377380371094,36.54625701904297,-277.3500671386719
43000,0.0,4.2404680252075195,144.50698852539062,148.099853515625,54.249107360839844,30.7030029296875,-286.551513671875
44000,0.0,5.3268842697143555,136.8394775390625,145.7740478515625,59.3799934387207,39.63495635986328,-269.1219482421875
45000,0.0,5.433846473693848,130.73391723632812,146.97482299804688,53.22050094604492,29.2471981048584,-271.76171875
46000,0.0,6.907233715057373,126.00164794921875,140.25833129882812,63.155799865722656,37.36370086669922,-277.72283935546875
47000,0.0,3.7297348976135254,136.52459716796875,140.1832275390625,48.40852355957031,28.399700164794922,-275.6321716308594
48000,0.0,3.095681667327881,129.59039306640625,144.661865234375,49.6589469909668,45.10430145263672,-279.1416015625
49000,0.0,4.226579666137695,122.75361633300781,147.93716430664062,51.60712814331055,45.53936004638672,-278.23486328125
50000,0.0,3.513251304626465,133.0408477783203,131.68569946289062,56.23466873168945,38.200439453125,-283.6160888671875
51000,0.0,5.859066963195801,133.07232666015625,139.12936401367188,54.77621841430664,35.04843521118164,-269.5400390625
52000,0.0,4.969846725463867,127.01531219482422,151.9645538330078,61.09618377685547,38.84810256958008,-271.97247314453125
53000,0.0,4.179487228393555,141.17532348632812,134.21986389160156,54.95146560668945,38.42059326171875,-272.2127685546875
54000,0.0,5.254467010498047,131.264404296875,148.2436981201172,57.724212646484375,32.66040802001953,-265.93621826171875
55000,0.0,3.986124038696289,131.80322265625,138.3734893798828,54.52437210083008,35.699424743652344,-280.0871276855469
56000,0.0,5.6500349044799805,142.50555419921875,159.9595489501953,47.27008056640625,37.185890197753906,-281.100830078125
57000,0.0,5.019214153289795,140.01101684570312,153.4627685546875,53.45576477050781,41.27619934082031,-276.73223876953125
58000,0.0,3.7648677825927734,140.7959747314453,158.2276611328125,58.10285949707031,33.28282165527344,-272.5926513671875
59000,0.0,4.727905750274658,128.27264404296875,155.23468017578125,53.91259002685547,31.876461029052734,-279.8873596191406
60000,0.0,4.837751388549805,118.53640747070312,148.29026794433594,59.82802200317383,35.85162353515625,-279.2258605957031
61000,0.0,3.4027810096740723,125.33692932128906,145.051025390625,49.95682144165039,43.0452995300293,-271.8631896972656
62000,0.0,5.352812767028809,131.17648315429688,152.802978515625,53.29441452026367,31.8234806060791,-280.6727600097656
63000,0.0,5.955625057220459,131.157958984375,143.8188018798828,50.8197135925293,33.53912353515625,-283.9266052246094
64000,0.0,3.9513587951660156,131.50462341308594,139.23934936523438,52.93498229980469,31.740724563598633,-284.8651123046875
65000,0.0,3.654628276824951,127.46947479248047,153.19094848632812,49.31562805175781,40.92427444458008,-280.0094299316406
66000,0.0,5.563024997711182,123.70392608642578,142.50994873046875,59.394798278808594,34.44219207763672,-266.78619384765625
67000,0.0,3.525550365447998,119.69583129882812,140.36154174804688,58.658973693847656,30.599443435668945,-279.8997802734375
68000,0.0,5.6386871337890625,123.71360778808594,133.52691650390625,59.89686584472656,35.64385986328125,-281.120849609375
69000,0.0,4.7267231941223145,151.29437255859375,145.37203979492188,62.34260940551758,32.423240661621094,-267.2912292480469
70000,0.0,4.053430557250977,136.45306396484375,136.74313354492188,52.238525390625,33.31892395019531,-278.675537109375
71000,0.0,5.893698692321777,138.33523559570312,149.83377075195312,51.99131774902344,39.31962203979492,-284.8826599121094
72000,0.0,5.382107734680176,131.17413330078125,131.1231231689453,57.69707489013672,36.14482116699219,-283.7347412109375
73000,0.0,4.6183857917785645,132.31051635742188,131.58639526367188,59.41931915283203,34.522151947021484,-268.5376892089844
74000,0.0,5.579479694366455,136.77223205566406,139.474853515625,44.08836364746094,32.35624694824219,-293.54443359375
