#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1000,-130.4585723876953,32.92263977043331,-97.535932617262,41.2467022855555
2000,-121.68002319335938,38.12642962858081,-83.55359356477857,47.76620292500189
3000,-118.92330169677734,40.51194120943546,-78.41136048734188,50.75486017303403
4000,-120.1003646850586,48.30750033631921,-71.79286434873939,60.52142532996242
5000,-109.42347717285156,35.86236877273768,-73.56110840011388,44.9297036427904
6000,-119.46991729736328,46.80146474018693,-72.66845255717635,58.63460816407696
7000,-118.89274597167969,48.40994024882093,-70.48280572285876,60.64976584586818
8000,-117.73416900634766,47.93848517164588,-69.79568383470178,60.05910946640263
9000,-111.76203155517578,45.99799432232976,-65.76403723284602,57.627990670713984
10000,-110.08857727050781,60.64631252922118,-49.442264741286635,75.97994617236058
11000,-103.1038818359375,54.706344455480576,-48.397537380456924,68.53813420249197
12000,-103.03579711914062,64.81110206898302,-38.22469505015761,81.19774873699046
13000,-102.06587219238281,51.239363733679056,-50.826508458703756,64.19457236604615
14000,-116.83871459960938,52.815574042499065,-64.02314055711031,66.16930701067537
15000,-110.60888671875,48.47774821519852,-62.13113850355148,60.734718177189954
16000,-114.25434875488281,50.24340222263709,-64.01094653224573,62.94679490286979
17000,-115.30601501464844,45.000288248062134,-70.3057267665863,56.3780275541244
18000,-122.92819213867188,41.7197908051312,-81.20840133354068,52.26809887523956
19000,-116.18685150146484,42.53035696223378,-73.65649453923106,53.28360617349644
20000,-117.05146789550781,47.51773594552651,-69.5337319499813,59.53197925486324
21000,-109.980712890625,45.36954002454877,-64.61117286607623,56.840639853726046
22000,-112.69757843017578,45.659327670931816,-67.03825075924397,57.20369654844249
23000,-112.48136901855469,38.90860731527209,-73.5727617032826,48.74614409625431
24000,-118.71292877197266,46.930701181292534,-71.78222759068012,58.79652036333854
25000,-113.07546997070312,39.70166499912739,-73.37380497157574,49.73971613085854
26000,-113.58828735351562,49.79293727502227,-63.79535007849336,62.38243573501737
27000,-117.5847396850586,54.03180155158043,-63.552938133478165,67.69304187301874
28000,-116.07157135009766,56.94372509047389,-59.127846259623766,71.341207516009
29000,-107.3394546508789,46.7409627661109,-60.59849188476801,58.55880905046385
30000,-117.69155883789062,50.38246751576662,-67.309091322124,63.12102105192601
31000,-116.4305191040039,41.3966864310205,-75.03383267298341,51.86330175025102
32000,-120.03073120117188,48.579462207853794,-71.45126899331808,60.86214923383005
33000,-115.79004669189453,42.767779937013984,-73.02226675488055,53.58105846847628
34000,-116.47664642333984,45.92732659727335,-70.5493198260665,57.53945552781767
35000,-115.07689666748047,47.83597857877612,-67.24091808870435,59.93068541086251
36000,-110.80400848388672,38.70074840262532,-72.1032600812614,48.48573075312257
37000,-119.1537094116211,38.50319075025618,-80.65051866136491,48.23822321033977
38000,-113.61063385009766,46.87808738928288,-66.73254646081477,58.730603856330944
39000,-108.20687866210938,47.30119610205293,-60.90568256005645,59.260690120122085
40000,-118.8704605102539,49.6881057638675,-69.18235474638641,62.251098935754115
41000,-114.61004638671875,45.25385661423206,-69.35618977248669,56.6957073933285
42000,-115.63394927978516,51.52156460750848,-64.11238467227668,64.54812407115634
43000,-106.76890563964844,45.85658422391862,-60.91232141572982,57.450826862768864
44000,-100.00585174560547,45.94910753518343,-54.05674421042204,57.56674349341647
45000,-117.56552124023438,54.25476900488138,-63.31075223535299,67.97238375537691
46000,-114.82012176513672,49.681273196823895,-65.13884856831282,62.24253884274035
47000,-111.29894256591797,52.647304782643914,-58.651637783274055,65.95849305063291
48000,-113.11764526367188,46.7424765303731,-66.37516873329878,58.56070555038879
49000,-117.33101654052734,51.60258524864912,-65.72843129187822,64.64962973070902
50000,-118.76889038085938,55.53090985491872,-63.23798052594066,69.5711802699625
51000,-114.00619506835938,52.92881901562214,-61.077376052737236,66.31118450665726
52000,-120.24785614013672,47.6445637345314,-72.60329240560532,59.69087380557657
53000,-115.98213958740234,49.98161092400551,-66.00052866339684,62.618813069368606
54000,-113.70708465576172,49.19424340501428,-64.51284125074744,61.63236988402253
55000,-122.2715835571289,47.25021779164672,-75.02136576548219,59.19682260503195
56000,-113.30734252929688,49.30601467937231,-64.00132784992456,61.77240107561802
57000,-110.13385009765625,49.582388520240784,-60.551461577415466,62.118652458049844
58000,-110.50799560546875,52.5098583586514,-57.99813724681735,65.78629508078103
59000,-111.67770385742188,44.82275049388409,-66.85495336353779,56.15560168116617
60000,-119.42749786376953,47.554919766262174,-71.87257809750736,59.57856452246079
61000,-119.54914093017578,48.83318430930376,-70.71595662087202,61.18002167828606
62000,-115.21224212646484,49.77277941815555,-65.43946270830929,62.357181225455136
63000,-114.27141571044922,53.08697860687971,-61.18443710356951,66.50933269950251
64000,-114.8267822265625,50.39016008935869,-64.43662213720381,63.130658592991175
65000,-120.22854614257812,51.270041808485985,-68.95850433409214,64.23300699422538
66000,-116.31329345703125,42.78408595081419,-73.52920750621706,53.6014872464045
67000,-119.92484283447266,41.70708475261927,-78.21775808185339,52.252180262125954
68000,-118.3199691772461,47.74735461547971,-70.57261456176639,59.81965402774917
69000,-118.58167266845703,50.48704203218222,-68.09463063627481,63.25203587866306
70000,-116.07054138183594,50.65299731120467,-65.41754407063127,63.45995079782768
71000,-116.42777252197266,41.46025445871055,-74.9675180632621,51.94294212937294
72000,-114.29374694824219,48.502335145138204,-65.79141180310398,60.76552159351409
73000,-116.42622375488281,50.78542319685221,-65.6408005580306,63.62585885132192
74000,-118.43048858642578,46.897773027420044,-71.53271555900574,58.75526675278173
75000,-113.9089584350586,41.18822059780359,-72.720737837255,51.602128034553715
76000,-118.52579498291016,51.15431175380945,-67.3714832291007,64.08801609604652
77000,-111.70574188232422,47.1519504673779,-64.55379141494632,59.07370966218238
78000,-112.64285278320312,40.319854244589806,-72.32299853861332,50.51420651016949
79000,-121.00111389160156,49.73732494795695,-71.26378894364461,62.3127625522512
80000,-113.7323226928711,43.8237581551075,-69.9085645377636,54.9040270847672
81000,-118.29557037353516,45.89584367349744,-72.39972670003772,57.50001255504518
82000,-116.39310455322266,41.17368928808719,-75.21941526513547,51.58392267162198
83000,-113.15349578857422,40.88173595815897,-72.27175983041525,51.21815272836121
84000,-108.71179962158203,41.39036787673831,-67.32143174484372,51.85538563145952
85000,-117.1045150756836,52.2470690831542,-64.85744599252939,65.45706294490581
86000,-112.4043960571289,47.70099037885666,-64.70340567827225,59.76156719516155
87000,-117.90413665771484,49.03776161186397,-68.86637504585087,61.43632369877777
88000,-111.88117980957031,52.21355950459838,-59.66762030497193,65.4150809039746
89000,-109.73816680908203,55.1017092987895,-54.63645751029253,69.0334619192197
90000,-110.97216796875,60.636688478291035,-50.335479490458965,75.96788880496038
91000,-115.5036849975586,57.337509910576046,-58.16617508698255,71.83455572115236
92000,-115.6749038696289,53.46012429520488,-62.21477957442403,66.97682343605362
93000,-112.96446990966797,37.94996900111437,-75.0145009085536,47.54512651627579
94000,-122.34968566894531,45.67173823155463,-76.67794743739069,57.21924495837483
95000,-122.58335876464844,48.07413912937045,-74.50921963527799,60.22906176813596
96000,-119.42112731933594,45.01545139402151,-74.40567592531443,56.397024504899306
97000,-121.92721557617188,45.49272866919637,-76.43448690697551,56.99497514962488
98000,-115.87467193603516,44.062478706240654,-71.8121932297945,55.203105031453475
99000,-122.18328857421875,50.47273940080777,-71.71054917341098,63.234117012426466
100000,-109.52379608154297,46.566667914390564,-62.957128167152405,58.34044600579481
101000,-116.10325622558594,54.82431051507592,-61.278945710510015,68.68592645043616
102000,-103.3104248046875,50.52282375842333,-52.78760104626417,63.29686455035589
103000,-107.01602935791016,55.213234663009644,-51.80279469490051,69.17318502548797
104000,-114.77415466308594,53.81076401472092,-60.96339064836502,67.41611786144648
105000,-124.49568939208984,57.056109020486474,-67.43958037160337,71.48200626529619
106000,-115.75300598144531,56.79529067873955,-58.957715302705765,71.15524338821035
107000,-116.85686492919922,53.60343624185771,-63.25342868734151,67.15636994990459
108000,-110.2160415649414,45.43783490359783,-64.77820666134357,56.926202207273846
109000,-118.71918487548828,41.964135479182005,-76.75504939630628,52.57422293138787
110000,-118.11764526367188,53.05450190231204,-65.06314336135983,66.4686446813527
111000,-124.10134887695312,56.56384286656976,-67.53750601038337,70.86527699821923
112000,-110.63867950439453,43.823107620701194,-66.81557188369334,54.90321207117259
113000,-114.40343475341797,39.407132265158,-74.99630248825997,49.3707146146953
114000,-120.52349853515625,42.427340526133776,-78.09615800902247,53.1545433674771
115000,-115.46416473388672,41.9705992564559,-73.49356547743082,52.58232099092123
116000,-122.82569122314453,53.3982796408236,-69.42741158232093,66.89934216283237
117000,-123.4939193725586,47.98131691478193,-75.51260245777667,60.11277066033552
118000,-119.75447082519531,40.111448630690575,-79.64302219450474,50.25310823946339
119000,-119.155029296875,35.90312449308112,-83.25190480379388,44.98076391849007
120000,-113.81587219238281,40.69486802071333,-73.12100417166948,50.98403765629284
121000,-114.40859985351562,46.739431615918875,-67.66916823759675,58.5568907688022
122000,-120.13374328613281,35.77979847602546,-84.35394481010735,44.82625651735128
123000,-117.84325408935547,39.98707801476121,-77.85617607459426,50.097292126172356
124000,-121.72158813476562,39.045224299654365,-82.67636383511126,48.91730291344693
125000,-119.65863037109375,43.67190521303564,-75.9867251580581,54.713780095567735
126000,-120.29998016357422,45.166797649115324,-75.1331825144589,56.5866366978892
127000,-117.79696655273438,46.138546869158745,-71.65841968357563,57.804080106280395
128000,-107.39555358886719,38.7789643118158,-68.61658927705139,48.583722540624095
129000,-116.98261260986328,50.12770241498947,-66.85491019487381,62.80184189928886
130000,-115.30677795410156,51.87074822932482,-63.436029724776745,64.98559424342926
131000,-112.54672241210938,48.34377917088568,-64.20294324122369,60.56687679737404
132000,-107.34590911865234,50.87998003140092,-56.465929087251425,63.74432315524442
133000,-116.49211120605469,47.73526648245752,-68.75684472359717,59.80450956705492
134000,-115.9763412475586,41.94890199229121,-74.02743925526738,52.55513785488925
