#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1000,460.2577976765346,642.3651543616146,1102.6229520381492,99.0497050159688
2000,539.8632860291755,704.8199294486776,1244.683215477853,108.67993948184682
3000,586.3179806325937,740.3076054557578,1326.6255860883516,114.15197328744267
4000,564.1188805034749,768.0003785109508,1332.1192590144256,118.42206948361166
5000,622.7420851098726,771.0242884999633,1393.766373609836,118.88834227311905
6000,551.1794069146407,794.8436228063786,1346.0230297210192,122.56117231489156
7000,544.9673992898834,759.1304365611305,1304.0978358510138,117.05436588438454
8000,538.0927284660268,779.4189787104306,1317.5117071764573,120.18276427499984
9000,544.9469187574632,736.8288235352414,1281.7757422927048,113.61556137172401
10000,552.524554245186,771.8540640796944,1324.3786183248803,119.01628978995392
11000,539.8451185387084,788.7682638822375,1328.613382420946,121.62438035907581
12000,552.401681353655,743.8635279181184,1296.2652092717735,114.70027991423427
13000,581.1417646706863,831.3398786569177,1412.481643327604,128.18872441923284
14000,604.9149724797884,770.4805509653362,1375.3955234451246,118.80450048617709
15000,636.4391869953168,785.159936874766,1421.5991238700828,121.06799319631573
16000,640.1652705917952,786.6362218713048,1426.8014924631,121.29562944406952
17000,623.1743730198012,794.1702236069538,1417.344596626755,122.45733730514962
18000,638.7943251445906,743.7265528541956,1382.520877998786,114.67915899946487
19000,622.7133846048719,807.7727948761459,1430.4861794810176,124.55479022974228
20000,607.0786401983366,763.5784445256604,1370.657084723997,117.74022792687533
21000,589.9358156185795,792.0043872760156,1381.9402028945951,122.1233754639201
22000,643.5590474289968,742.2772683920094,1385.8363158210063,114.45568610793416
23000,711.5858677051999,782.7353037810387,1494.3211714862387,120.69412610362711
24000,686.0328408172307,789.7249426370462,1475.757783454277,121.7718957524863
25000,642.5691949457389,755.5444906880214,1398.1136856337603,116.50142978795559
26000,675.1394523909366,753.3114179797672,1428.4508703707038,116.15710041154101
27000,623.6301567127359,806.5732967544362,1430.203453467172,124.36983322465593
28000,650.6528572894297,826.0121511306605,1476.66500842009,127.36721373127271
29000,668.1530100696514,764.8272921158652,1432.9803021855166,117.93279438939247
30000,644.9045521013418,828.9321642113571,1473.8367163126989,127.81746610303033
31000,589.1720289189036,781.3762540420422,1370.548282960946,120.48456698474338
32000,581.96543762599,804.4773568442831,1386.4427944702732,124.04664908488394
33000,683.2901735117738,749.2581191131127,1432.5482926248865,115.53210066745827
34000,629.7182980394261,789.1766328019606,1418.8949308413867,121.68734893818012
35000,617.2419950711517,781.9891262722572,1399.2311213434089,120.57906901867703
36000,554.7387009453448,726.6776462132524,1281.416347158597,112.05029726534973
37000,592.2715325806375,762.3043658538539,1354.5758984344916,117.54377094948062
38000,558.549506384684,771.0259919564821,1329.5754983411662,118.88860493815396
39000,622.578818770567,767.5904608181266,1390.1692795886936,118.35886209093265
40000,578.3634837802668,801.5481487862694,1379.9116325665364,123.59497889059234
41000,635.4105018193844,770.2775137322393,1405.6880155516237,118.77319309363104
42000,658.4888024449602,769.123032565371,1427.611835010331,118.595177492616
43000,651.1218250874847,796.2293508854641,1447.3511759729488,122.77484510914856
44000,698.1601783262627,787.9543402756628,1486.1145186019255,121.49887714242503
45000,734.5804590376553,771.8182956586062,1506.3987546962614,119.01077446656875
46000,666.9063350413944,809.241549503571,1476.1478845449656,124.78126532976833
47000,599.9984864385372,793.9217247652143,1393.9202112037515,122.419019944994
48000,624.924206945522,762.5717258319854,1387.4959327775073,117.5849966087294
49000,589.106674927756,738.026344707333,1327.133019635089,113.80021354041759
50000,628.7191438387781,733.935431635123,1362.654575473901,113.16941386161018
51000,619.9024267841719,732.3633566050819,1352.2657833892538,112.92700723831926
52000,667.9329807718332,765.9561733816315,1433.8891541534647,118.10686260528648
53000,583.3415444005078,750.1363809372639,1333.4779253377717,115.66752453660541
54000,605.1737506809883,814.5665986055179,1419.7403492865062,125.60236301721616
55000,661.9031307469492,784.3828580457143,1446.2859887926634,120.94817127218253
56000,638.8788997413493,829.2978930546982,1468.1767927960475,127.87385978161456
57000,609.9001191760348,800.3894073689629,1410.2895265449977,123.416306378868
58000,655.0668174640609,750.3682343122244,1405.4350517762855,115.70327524356838
59000,675.478687470871,803.9054088908842,1479.3840963617554,123.9584573831953
60000,699.0368828799932,772.4284895661781,1471.4653724461714,119.1048635156667
61000,652.9868698025206,780.6191848070887,1433.6060546096091,120.36783044651484
62000,654.3089440421907,746.7045209491912,1401.0134649913819,115.13834776360234
63000,702.5361203169382,765.3584738137238,1467.894594130662,118.01470012497842
64000,674.0304044469292,787.0756957165161,1461.1061001634453,121.36339425733009
65000,697.9115512081975,800.2718401823092,1498.1833913905066,123.39817806808007
66000,650.5301307215473,728.3520260913319,1378.8821568128792,112.30847881813536
67000,655.4151563382643,732.1502053260241,1387.5653616642885,112.8941403071492
68000,645.8468993409998,787.8811001316319,1433.7279994726318,121.48758385446828
69000,634.0238063152635,805.7570322093279,1439.7808385245914,124.24396904622252
70000,609.5113283375424,704.7050379255755,1314.2163662631178,108.6622237458751
71000,591.7201861954986,765.5927814176544,1357.312967613153,118.0508292625799
72000,550.1429342338149,780.0159461809681,1330.158880414783,120.2748138693145
73000,608.5242927731151,828.4842319709478,1437.008524744063,127.74839704475652
74000,570.1459867804285,806.3480237710504,1376.4940105514788,124.33509718332347
75000,616.4486673613978,736.1258045012505,1352.5744718626484,113.50715912190613
76000,629.4825562432563,771.9702683801078,1401.452824623364,119.0342079500524
77000,646.1076721815607,781.4616546644091,1427.56932684597,120.49773536163337
78000,554.1861163254372,768.1845463801417,1322.370662705579,118.45046730842037
79000,679.8366092849104,777.7790707267051,1457.6156800116155,119.92989812723569
80000,608.1085161000857,816.1824260866413,1424.290942186727,125.85151606400777
81000,644.4834302113492,785.0302829952542,1429.5137132066034,121.04800117397045
82000,655.1991596560617,752.310980815962,1407.5101404720237,116.00283767594728
83000,601.4661661034658,815.9313075299984,1417.3974736334642,125.81279475605604
84000,659.3228347984567,775.3443296986886,1434.6671644971452,119.55447243831429
85000,674.6382449081445,781.9965132324284,1456.634758140573,120.58020805341599
86000,709.5407076937506,747.122909305873,1456.6636169996236,115.20286129306461
87000,698.0244156901355,797.7880067363124,1495.812422426448,123.01518255771605
88000,639.0291188513208,801.0464324757785,1440.0755513270992,123.51761658004608
89000,651.0576621862616,792.1640306039611,1443.2216927902227,122.1479917190725
90000,625.5032712076033,780.9441751607488,1406.4474463683523,120.41794244036213
91000,620.7733170633118,774.9479677210094,1395.7212847843211,119.49335527356446
92000,639.9366675952767,793.2324452588772,1433.1691128541538,122.31273626613522
