#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1000,484.84990317747463,700.2469335713112,1185.0968367487858,107.97480488726791
2000,568.2786459578269,791.9844165011051,1360.263062458932,122.12029606375279
3000,599.5487809799699,792.5813956711484,1392.1301766511183,122.21234746207656
4000,674.3234000273578,753.9170125968764,1428.240412624234,116.25048027154219
5000,559.0949669243378,750.7680243058795,1309.8629912302172,115.7649209923625
6000,605.985676445581,755.4697054275033,1361.4553818730842,116.48989825025689
7000,627.597077788155,751.5101640708882,1379.1072418590434,115.87935547609129
8000,592.7634906492824,756.9719325491103,1349.7354231983927,116.72153465246808
9000,617.003061378501,711.774062507416,1328.777123885917,109.75223430268647
10000,543.708981437858,780.585604674324,1324.294586112182,120.36265254696323
11000,616.6728080749663,769.6133544596332,1386.2861625345995,118.67078283742617
12000,631.837377243045,750.0763427209286,1381.9137199639736,115.65826692420643
13000,583.7114265658583,753.1256927231968,1336.8371192890552,116.1284624448761
14000,617.9138023773185,755.6875867424592,1373.6013891197777,116.52349453085887
15000,602.905816490708,805.1926973811163,1408.0985138718243,124.15695125286145
16000,623.654766924601,797.6545584029653,1421.3093253275663,122.99460544832095
17000,551.3188557383305,787.9837806357151,1339.3026363740455,121.50341670836964
18000,601.7490786544563,783.9261100634292,1385.6751887178855,120.8777428677076
19000,622.0991823221605,767.7273837081918,1389.8265660303523,118.37997496073699
20000,647.3365165106256,794.3808443304331,1441.7173608410587,122.48981403647484
21000,599.3422300991455,765.5613856288785,1364.9036157280239,118.04598817866386
22000,585.8894717282357,742.8332272842227,1328.7226990124584,114.54141237110524
23000,607.9252327812601,754.1520577589486,1362.0772905402087,116.28672313716248
24000,624.2880011696518,771.5473632493214,1395.8353644189733,118.96899795513018
25000,619.333182978803,782.6001010503558,1401.9332840291588,120.67327847436115
26000,656.5207719546715,741.2605743052342,1397.7813462599056,114.29891663078739
27000,593.7645038672285,764.7887378830667,1358.5532417502952,117.92684950685972
28000,536.5190225696697,765.2076147558091,1301.7266373254788,117.99143836321569
29000,613.027578650049,783.2604375956715,1396.2880162457204,120.77509928388156
30000,616.6482514925289,743.6215583928575,1360.2698098853864,114.66296934416799
31000,599.1005487310774,738.7252167424714,1337.825765473549,113.90797634239141
32000,612.8375686645652,761.6950043405803,1374.5325730051454,117.44981025169368
33000,557.2226776779635,774.5003311567882,1331.7230088347517,119.42433180717714
34000,609.3544896036326,769.262047822201,1378.6165374258335,118.61661299559782
35000,586.0768704768775,819.8134737509785,1405.890344227856,126.41140664588241
36000,606.4647098262587,767.7262515831038,1374.1909614093624,118.37980039233886
37000,617.7360523475364,744.62091316663,1362.3569655141664,114.81706518027671
38000,588.2633352641749,810.8050670674805,1399.0684023316553,125.02235243177098
39000,555.6233769587495,762.8091145540532,1318.4324915128027,117.62160084034949
40000,603.731180059201,769.8473642935613,1373.5785443527625,118.70686606028474
41000,577.1920711318874,822.0212663628889,1399.2133374947762,126.75183794957526
42000,624.1551179305316,774.3956946888048,1398.5508126193363,119.40819735278264
43000,568.029467434061,784.3874005075028,1352.4168679415639,120.9488716985633
44000,584.0418113128818,761.8580008237608,1345.8998121366426,117.47494354771392
45000,615.0999200005958,752.6083732846986,1367.7082932852945,116.04869420490486
46000,612.7793470037207,755.3975690397479,1368.1769160434685,116.47877515635993
47000,614.584204963297,716.1005700660608,1330.6847750293578,110.41936155036386
48000,572.7326579551086,762.341891425622,1335.0745493807306,117.54955721728942
49000,561.6901562770341,792.0728792249278,1353.763035501962,122.13393660237797
50000,611.2093945105074,740.4075679247228,1351.61696243523,114.16738703303025
51000,602.4645981007263,796.8506867864636,1399.31528488719,122.87065220156624
52000,621.6004907784743,778.6271934926474,1400.2276842711217,120.06067469444753
53000,607.476076644976,795.734920768311,1403.210997413287,122.69860629556644
54000,604.8359026926289,769.0125725358747,1373.8484752285035,118.57814507224984
55000,542.5727214546229,741.2805670146081,1283.8532884692308,114.30199941314649
56000,649.0332602416674,805.9852085587953,1455.0184688004629,124.27915277303727
57000,717.1592488896634,765.4989485469895,1482.658197436653,118.03636067240646
58000,646.2884993050802,835.8135852305712,1482.1020845356516,128.87854906716035
59000,708.5192871321067,785.3604071335305,1493.8796942656372,121.09890477341526
60000,682.8246968888901,796.3431459461334,1479.1678428350235,122.79239177573692
61000,634.5199116941991,790.6137373175343,1425.1336490117333,121.90894373886034
62000,628.4160698037797,817.0838929777636,1445.4999627815432,125.99051804604412
63000,619.7717140890317,765.1081258112022,1384.879839900234,117.97609763287134
64000,608.1497760707393,777.8200408115731,1385.9698168823124,119.93621552286824
65000,613.6687812017229,763.6566206195131,1377.325401821236,117.7522823152288
66000,589.5756083801087,768.1188130913458,1357.6944214714545,118.44033154246117
67000,537.6853370474535,793.5168381978287,1331.2021752452822,122.35658832834704
68000,581.4595020510452,756.0863516318332,1337.5458536828783,116.58498221336318
69000,619.9495355433202,834.4539651044286,1454.4035006477488,128.6689019972441
70000,647.6121148641364,800.6509391194818,1448.2630539836182,123.45663335265435
71000,652.4653941374908,749.0199236949474,1401.485317832438,115.49537204706964
72000,635.7134061409554,800.560840357242,1436.2742464981975,123.44274054455049
73000,587.7246254778536,816.0957226173134,1403.820348095167,125.83814679420466
74000,629.251028941281,800.2750456177114,1429.5260745589924,123.39867233124001
75000,566.1114050637741,758.2192416659183,1324.3306467296925,116.91386388957673
76000,547.6259355256069,766.0920470373345,1313.7179825629414,118.12781368805528
77000,636.6598278581387,760.2230165982213,1396.88284445636,117.22283662045324
78000,581.904360794457,794.4342743940409,1376.3386351884978,122.49805270260329
79000,629.0129631737295,798.1250023814514,1427.137965555181,123.06714571140837
80000,656.6176825324676,780.8479790426064,1437.4656615750741,120.40310944847116
81000,548.9129621639825,788.9001343709873,1337.8130965349696,121.64471417220732
82000,631.5900622290206,779.6809268968924,1411.270989125913,120.22315546126258
83000,613.5557770183127,850.3231589297286,1463.8789359480413,131.1158575280112
84000,629.547887219198,731.6316319653234,1361.1795191845213,112.81417871823396
85000,546.4491059564773,800.9760368647651,1347.4251428212424,123.50676190578807
